Smp;EGE;C002;PI;ACT
GJ68B7;9;17.4;23.1;1.32
GJ6864;9;14.6;23.8;1.63
GJ6865;9;9.7;24.4;2.51
GJ68A0;9;21.1;24.5;1.16
GJ68A3;9;15;25.3;1.69
GJ6855;9à;21.6;29.3;1.36
GJ6859;9à;15.9;30.4;1.91
