Sigma;Epsilon;Void;Energy
98.4000042;0.073;0.980999;0.148900002
199.4;0.074;0.978862;0.5989
399.5;0.076;0.974588;2.09965
800.3;0.0795;0.9671085;19.79835
1599.5;0.096;0.931848;23.562925
2498.4;0.1075;0.9072725;-3.072375
