Sigma;Epsilon
4.9;0.0005
24.3;0.005
49.3;0.0075
99.6;0.0125
199.7;0.02
399.7;0.032
599.7;0.042
399.3;0.0415
199.3;0.0385
99.6;0.036
4.5;0.032
4.5;0.0315
25.5;0.032
49.0999967;0.032
100.099996;0.0335
200.199991;0.0355
398.4;0.0405
799.1;0.0545
1600.8;0.087
2498;0.1075
1600.09992;0.107
799.1;0.101
401;0.093
200.8;0.0845
101.5;0.0765
48.4;0.0685
26.2;0.064
13.1;0.059
