Smp;EGE;LL;PI
GJ6890;?8à;51.862;34.462
GJ6888;?8à;57.042;38.192
GJ6884;?8à;50.752;31.202
GJ6822;?8à;56.894;34.594
GJ6846;?8á;67.55;46.86111111
