Sigma;Epsilon;Void;Energy
5.709738;0.159193497;0.796803497;
12.2979;0.159193497;0.796803497;0
24.15658;0.158670874;0.797920342;0
49.19159;0.158189745;0.798948515;0
98.82238;0.162023258;0.790756298;0.256535798
199.15;0.167722216;0.778577624;1.362137635
399.4196;0.172125188;0.769168473;3.785482066
599.6129;0.17604658;0.760788459;8.167625524
798.8998;0.179795436;0.752777153;15.17118035
999.2388;0.185639248;0.740288927;27.42872713
1199.181;0.192068804;0.726548966;46.75370552
1499.093;0.20109024;0.707270157;78.24983702
