Sigma;Epsilon;Void;Energy
4.5;0.0315;1.0696845;
25.5;0.032;1.068616;0.0075
49.0999967;0.032;1.068616;0.0075
100.099996;0.0335;1.0654105;0.119399995
200.199991;0.0355;1.0611365;0.419699982
398.4;0.0405;1.0504515;1.91619996
799.1;0.0545;1.0205335;10.29869996
1600.8;0.087;0.951081;49.29707496
2498;0.1075;0.9072725;91.30977496
