Sigma;Epsilon
4.4;0.002
25.6;0.006
49;0.0095
99.6;0.0165
199.5;0.0255
399.3;0.039
600;0.0495
399.6;0.0485
199.8;0.046
100.8;0.044
5.1;0.0405
5.1;0.04
25.3;0.041
50.7;0.0415
100.7;0.042
198;0.046
399.5;0.053
800;0.066
1599.1;0.095
2498.3;0.1155
1599.7;0.114
799.3;0.1075
401.5;0.097
201.30001;0.0855
100.7;0.075
51.3;0.0665
24;0.0595
14.3;0.055
