Sigma;Epsilon;Void;Energy
25.6000012;0.272;0.555736;
48.5;0.273;0.553599;0.037050001
98.4000042;0.2755;0.5482565;0.220675006
198.8;0.2795;0.5397085;0.815075014
400.7;0.2835;0.5311605;2.014075014
600.3;0.287;0.523681;3.765825014
797.8;0.292;0.512996;7.261075014
1597.9;0.3145;0.4649135;34.21270001
2499.19987;0.327;0.438201;59.8195742
