Sigma;Epsilon;Void;Energy
25.3;0.2685;0.5632155;
50.7;0.27;0.56001;0.057
101.3;0.275;0.549325;0.437
199.2;0.282;0.534366;1.48875
399.5;0.2905;0.5162015;4.033225
598.7;0.2975;0.5012425;7.526925
799.3;0.3055;0.4841465;13.118925
1599;0.333;0.425379;46.09555
2498.9;0.3475;0.3943925;75.805325
