Sigma;Epsilon;Void;Energy
5.1;0.04;1.05152;
25.3;0.041;1.049383;0.0152
50.7;0.0415;1.0483145;0.0342
100.7;0.042;1.047246;0.07205
198;0.046;1.038698;0.66945
399.5;0.053;1.023739;2.7607
800;0.066;0.995958;10.55745
1599.1;0.095;0.933985;45.3444
2498.3;0.1155;0.8901765;87.34275
