Sigma;Epsilon;Void;Energy
26.2;0.3035;0.4884205;
49.099997;0.3045;0.4862835;0.037649999
98.19999;0.31;0.47453;0.442724963
198.3;0.321;0.451023;2.073474908
397.7;0.335;0.421105;6.245474908
598.7;0.3465;0.3965295;11.97477491
800.4;0.3605;0.3666115;21.76847491
1600.8;0.4035;0.2747205;73.39427491
2498;0.426;0.226638;119.5057749
