Sigma;Epsilon;Void;Energy
25.3;0.268;0.564284;
48.5;0.2695;0.5610785;0.05535
97.7;0.2725;0.5546675;0.27465
199.4;0.2775;0.5439825;1.0174
398.2;0.2835;0.5311605;2.8102
599.2;0.289;0.519407;5.55305
798.299968;0.297;0.502311;11.14304987
1598.80006;0.3255;0.4414065;45.30172527
2497.7;0.341;0.408283;77.04960074
