Sigma;Epsilon
4;0.0665
10;0.0945
23.3;0.131
48.5;0.1685
98.400004;0.205
198;0.239
398.2;0.271
597.900033;0.2865
398.2;0.2855
198.7;0.2825
99.1;0.278
49.900003;0.2735
25.3;0.268
48.5;0.2695
97.7;0.2725
199.4;0.2775
398.2;0.2835
599.2;0.289
798.299968;0.297
1598.80006;0.3255
2497.7;0.341
1598.80006;0.3395
798.9;0.336
398.8;0.3315
200.7;0.3265
99.7;0.321
49.200002;0.315
