Sigma;Epsilon;Void;Energy
6.675303;0.244825771;0.613807327;
12.01555;0.245036877;0.613356194;0.001972876
24.03109;0.244825771;0.613807327;0.001972876
49.84227;0.245186623;0.613036187;0.015301551
99.23951;0.24841172;0.606144154;0.255703152
198.7718;0.256435744;0.588996815;1.451328104
398.8623;0.265525424;0.569572169;4.167479467
600.2083;0.27149806;0.556808646;7.151021983
798.8696;0.27689084;0.545284275;10.92348164
1000.273;0.283731012;0.530666827;17.07670406
1164.386;0.2907106;0.515751448;24.63091805
1499.319;0.3003748;0.495099052;37.50220698
