Sigma;Epsilon
5.4;0.03
11.7;0.047
24.4;0.0795
49.4;0.121
100.2;0.179
200.2;0.232
398.4;0.3205
598.7;0.3435
400.399983;0.342
200.8;0.3335
100.8;0.3225
51.099997;0.3125
26.2;0.3035
49.099997;0.3045
98.19999;0.31
198.3;0.321
397.7;0.335
598.7;0.3465
800.4;0.3605
1600.8;0.4035
2498;0.426
1600.8;0.423
800.4;0.4135
399;0.402
198.9;0.3895
99.5;0.3775
51.7;0.3665
23.6;0.356
