Sigma;Epsilon;Void;Energy
98.4000042;0.073;0.980999;
199.4;0.074;0.978862;0.148900002
399.5;0.076;0.974588;0.747800002
800.3;0.0795;0.9671085;2.847450002
1599.5;0.096;0.931848;22.6458
2498.4;0.1075;0.9072725;46.208725
