Sigma;Epsilon
5.5;0.0035
11.9;0.061
24.8;0.1145
49.6;0.168
99.4;0.2095
199.3;0.2425
400.2;0.272
599.1;0.287
6;0.275
598.9;0.286
400.7;0.2855
200.1;0.2835
101;0.2805
50.5;0.2765
25.6000012;0.272
48.5;0.273
98.4000042;0.2755
198.8;0.2795
400.7;0.2835
600.3;0.287
797.8;0.292
1597.9;0.3145
2499.19987;0.327
1601.2;0.327
801.200032;0.325
400;0.322
202.100009;0.318
101.7;0.3135
49.8;0.308
25.6000012;0.303
