Sigma;Epsilon
4.831317;0
11.41948;0
24.59579;-0.001426897
49.19159;0.006049592
98.82238;0.06049976
198.7079;0.10712816
399.4196;0.14709108
799.7874;0.18064156
399.4196;0.18064156
200.0342;0.1766722
100.5792;0.1704048
50.50922;0.16371956
25.035;0.15766108
12.73711;0.15306496
5.709738;0.150558
5.709738;0.159193497
12.2979;0.159193497
24.15658;0.158670874
49.19159;0.158189745
98.82238;0.162023258
199.15;0.167722216
399.4196;0.172125188
599.6129;0.17604658
798.8998;0.179795436
999.2388;0.185639248
1199.181;0.192068804
1499.093;0.20109024
799.3436;0.198992652
400.3038;0.1952322
200.4763;0.189800452
100.14;0.182279548
50.50922;0.1753854
25.47421;0.169953652
12.73711;0.165566464
6.588159;0.161806011
