Sigma;Epsilon;Void;Energy
25.3;0.2685;0.5632155;0.057
50.7;0.27;0.56001;0.38
101.3;0.275;0.549325;1.05175
199.2;0.282;0.534366;2.544475
399.5;0.2905;0.5162015;3.4937
598.7;0.2975;0.5012425;5.592
799.3;0.3055;0.4841465;32.976625
1599;0.333;0.425379;29.709775
2498.9;0.3475;0.3943925;-3.073425
