Sigma;Epsilon
12.3000005;0.025
23.4;0.1055
50;0.156
100;0.1985
199.9;0.241
399.5;0.2775
599.400043;0.2945
400.1;0.2935
198.600009;0.289
102;0.283
48.7;0.2755
25.3;0.2685
50.7;0.27
101.3;0.275
199.2;0.282
399.5;0.2905
598.7;0.2975
799.3;0.3055
1599;0.333
2498.9;0.3475
1599;0.346
