Sigma;Epsilon
23.3;0.0115
47.9000024;0.019
98.4000042;0.0315
198;0.046
400.1;0.062
799.6;0.079
397.5;0.077
198;0.075
98.4000042;0.073
199.4;0.074
399.5;0.076
800.3;0.0795
1599.5;0.096
2498.4;0.1075
1598.1;0.106
799.6;0.1035
398.8;0.101
199.4;0.0985
97.7;0.0955
