Sigma;Epsilon
5.340243;-0.000230832
11.57053;-0.000230832
24.03109;0.04874552
49.84227;0.1048306
99.23951;0.15459836
199.6572;0.19980344
399.305;0.24126248
799.7584;0.27711596
399.305;0.2743716
200.0999;0.2682496
100.1296;0.26043876
48.95223;0.25389452
24.92113;0.24777252
12.01555;0.24439484
12.46057;0.246936806
6.675303;0.244825771
12.01555;0.245036877
24.03109;0.244825771
49.84227;0.245186623
99.23951;0.24841172
198.7718;0.256435744
398.8623;0.265525424
600.2083;0.27149806
798.8696;0.27689084
1000.273;0.283731012
1164.386;0.2907106
1499.319;0.3003748
799.7584;0.29847484
400.1903;0.2910862
198.7718;0.28306424
99.23951;0.27525338
49.39725;0.26744254
24.92113;0.26195384
12.46057;0.255409612
6.230284;0.253720768
