Sigma;Epsilon;Void;Energy
5.1;0.04;1.05152;0.0152
25.3;0.041;1.049383;0.019
50.7;0.0415;1.0483145;0.03785
100.7;0.042;1.047246;0.5974
198;0.046;1.038698;2.09125
399.5;0.053;1.023739;7.79675
800;0.066;0.995958;34.78695
1599.1;0.095;0.933985;41.99835
2498.3;0.1155;0.8901765;-3.0735
