Sigma;Epsilon;Void;Energy
25.6000012;0.272;0.555736;0.037050001
48.5;0.273;0.553599;0.183625005
98.4000042;0.2755;0.5482565;0.594400008
198.8;0.2795;0.5397085;1.199
400.7;0.2835;0.5311605;1.75175
600.3;0.287;0.523681;3.49525
797.8;0.292;0.512996;26.951625
1597.9;0.3145;0.4649135;25.60687419
2499.19987;0.327;0.438201;0
